IlmnID,Chromosome,MAPINFO
cg14008030,1,18827
cg21870274,1,69591
cg08477687,1,566570
cg00034556,1,566731
cg00645010,1,567113
cg15394630,1,567206
cg18024856,1,567747
cg08858441,1,569427
cg11954957,1,758829
cg24373735,1,833555
cg05151709,1,846155
cg12549180,1,847816
cg13176867,1,855425
cg05527507,1,861265
cg06624358,1,870810
cg10146935,1,871308
cg24362661,1,871546
cg05819296,1,871980
cg23112672,1,876199
cg06838427,1,877876
cg22381068,1,906363
cg23635910,1,912055
cg15526941,1,917655
cg10625579,1,942635
cg15574137,1,963896
cg11853970,1,986037
cg17098415,1,995021
cg07181843,1,1009445
cg22044028,1,1015392
cg15576492,1,1015447
cg09762182,1,1046164
cg08927102,1,1050110
cg23926866,1,1058658
cg21775619,1,1066087
cg10399850,1,1089668
cg08474826,1,1099630
cg17168771,1,1115378
cg09021712,1,1133215
cg22723960,1,1134018
cg12810734,1,1139603
cg00086243,1,1142405
cg25619287,1,1164537
cg06964912,1,1173622
cg21864845,1,1208426
cg22670128,1,1210100
cg22421766,1,1217658
cg18565510,1,1238702
cg08663263,1,1249367
cg21197375,1,1259676
cg17970390,1,1261353
cg16430279,1,1266504
cg21679391,1,1286917
cg14270725,1,1289806
cg19436320,1,1290708
cg00040588,1,1290712
cg26108719,1,1295147
cg21165029,1,1297202
cg15823872,1,1357361
cg24555071,1,1358016
cg21285198,1,1360970
cg09843049,1,1373316
cg09860601,1,1374601
cg20681653,1,1468450
cg00784654,1,1502751
cg07147033,1,1549615
cg13897348,1,1549699
cg10970349,1,1555396
cg13167158,1,1562535
cg03427058,1,1565025
cg24535439,1,1566351
cg21921584,1,1572457
cg16673286,1,1581603
cg03388431,1,1583010
cg03548463,1,1603847
cg23231093,1,1625702
cg21265770,1,1631037
cg10626236,1,1631100
cg05364761,1,1636187
cg23611477,1,1644835
cg10628909,1,1646882
cg23059868,1,1649451
cg21906539,1,1655213
cg00062592,1,1655803
cg24163210,1,1713944
cg22094750,1,1851056
cg07924154,1,1855209
cg17747265,1,1875780
cg03396347,1,1875803
cg06090818,1,1886501
cg13111532,1,1886543
cg05757448,1,1895206
cg15825127,1,1957073
cg19091116,1,1959497
cg00889627,1,1959630
cg27264322,1,1992046
cg03734700,1,1999046
cg08659047,1,2022951
cg10761639,1,2023794
cg20269544,1,2025441
cg19405842,1,2038661
cg13918804,1,2043761
cg19257562,1,2043853
cg12718519,1,2058417
cg24557048,1,2063799
cg06157219,1,2063875
cg17435831,1,2082522
cg06308188,1,2126306
cg16039979,1,2135358
cg15451548,1,2144873
cg26553501,1,2145276
cg11155073,1,2147513
cg05052194,1,2160249
cg22166144,1,2188349
cg21194808,1,2205498
cg16560209,1,2207859
cg09888283,1,2211524
cg16902087,1,2220497
cg05628390,1,2259411
cg07584620,1,2265881
cg18155888,1,2266591
cg11070388,1,2269974
cg12077294,1,2276369
cg01520454,1,2304375
cg27545787,1,2316653
cg06231244,1,2460761
cg12443001,1,2467281
cg04835685,1,2474539
cg17099671,1,2517236
cg16243652,1,2629249
cg10091792,1,2844356
cg06532546,1,2886654
cg13300670,1,2896834
cg24678113,1,3006466
cg16348158,1,3036916
cg05117823,1,3056152
cg17033287,1,3056542
cg22510139,1,3058822
cg17445936,1,3090345
cg15090440,1,3099233
cg18147147,1,3105326
cg15385589,1,3106800
cg09119863,1,3129238
cg04022097,1,3133811
cg16393928,1,3135836
cg24807850,1,3165391
cg07424785,1,3204078
cg22389615,1,3204273
cg14659814,1,3209910
cg13875033,1,3236688
cg26004086,1,3265739
cg27187555,1,3269252
cg26000536,1,3276535
cg01783650,1,3310911
cg23999080,1,3319264
cg10248231,1,3339870
cg01913436,1,3340086
cg01261194,1,3340124
cg23022057,1,3352544
cg01269514,1,3394013
cg18024358,1,3420815
cg20000908,1,3494234
cg23108037,1,3507069
cg13059495,1,3540478
cg04391111,1,3568004
cg03846767,1,3607292
cg03103850,1,3620919
cg19692322,1,3621048
cg26034538,1,3623319
cg14037182,1,3662738
cg07586042,1,3692495
cg00954161,1,3696925
cg24196422,1,3716982
cg24556754,1,3721846
cg10625090,1,3731643
cg06178315,1,3774858
cg04289045,1,3775105
cg26020826,1,3820550
cg12279968,1,3826425
cg03315469,1,4008051
cg10510935,1,4059661
cg20703997,1,4087676
cg04570715,1,4221331
cg11193416,1,4471975
cg16512885,1,4697919
cg07807395,1,4698416
cg20936183,1,5357644
ch.1.5400413R,1,5477826
cg27393162,1,5728982
cg04621353,1,5917284
cg23589237,1,5917915
cg01083589,1,5935330
cg26269846,1,5940974
cg06173758,1,5957461
cg20810082,1,5971949
cg00702417,1,6054867
cg25392777,1,6059204
cg01934408,1,6085799
cg13614083,1,6085872
cg06753281,1,6086652
cg03549532,1,6154081
cg19180828,1,6265220
cg25194807,1,6295368
cg15582719,1,6296260
cg08851727,1,6296770
cg21413219,1,6299374
cg11723698,1,6325058
cg24927687,1,6336519
cg18167466,1,6390473
cg02328793,1,6446234
cg11404532,1,6486842
cg01913077,1,6498209
cg10210806,1,6514605
cg01715088,1,6520772
cg23449295,1,6521121
cg08489551,1,6531260
cg25142390,1,6534951
cg11135412,1,6637055
cg05389555,1,6659504
cg12475902,1,6764205
cg06759559,1,7028331
cg20409752,1,7122726
cg16652920,1,7432614
cg14654082,1,7796463
cg26816564,1,7831052
cg12258811,1,7844735
cg18025409,1,8001046
cg14178899,1,8076599
cg10227331,1,8181647
cg11283860,1,8273352
cg13089904,1,8343271
cg02460223,1,8398664
cg13400249,1,8480963
cg22718310,1,8750518
cg26820375,1,8877710
cg24295324,1,9062931
cg04599612,1,9086585
